rxn_smiles,label,true_rxn_smiles,forward_template
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCCCN(CC1CCN(C(=O)OC(C)(C)C)CC1)C(C)(C)C,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CC[NH2+]CC2)O1,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>CC(C)(C)OC(=O)N1CCC2(CC1)CN(C(C)(C)C)CC(CO)O2,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCN(C(=O)O)CC2)O1,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>CC(C)(C)O,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>CC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>CN(CC1(O)CCN(C(=O)OC(C)(C)C)CC1)C(C)(C)C,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>CO,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC(O)CN(C)C(C)(C)C,0,COCC1CN(C(C)(C)C)CC2(CCN(C(=O)OC(C)(C)C)CC2)O1>>COCC1CN(C(C)(C)C)CC2(CCNCC2)O1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CCOC(=O)CC(C)NC(=O)OC(C)(C)C>>CC(CC=O)NC(=O)OC(C)(C)C,0,CCOC(=O)CC(C)NC(=O)OC(C)(C)C>>CC(CCO)NC(=O)OC(C)(C)C,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
