rxn_smiles,label,true_rxn_smiles,forward_template
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(Oc1cc(Cl)ccc1Cl)c1cccnc1,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=Cc1cccnc1Oc1cc(Cl)ccc1Cl,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C1Oc2ncccc21,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(O)c1cccnc1Oc1cccc(Cl)c1,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(O)C1=C(Oc2cc(Cl)ccc2Cl)NCCC1,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C1Oc2ccc(Cl)cc2Oc2ncccc21,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(O)c1cccnc1Oc1ccccc1Cl,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>Clc1ccc(Cl)cc1,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C1Oc2ccc(Cl)c(c2)Oc2ncccc21,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>OCc1cccnc1Oc1cc(Cl)ccc1Cl,0,O=C(O)c1cccnc1Oc1cc(Cl)ccc1Cl.c1ccc2c(c1)NCCN2>>O=C(c1cccnc1Oc1cc(Cl)ccc1Cl)N1CCNc2ccccc21,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1ccccc1N,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>CS(=O)(=O)c1ccc(S)cc1,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>CC1=C(C(=O)c2cc(Cl)ccc2N)CCCN1,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1Cc1cc(Cl)ccc1N,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>CS(=O)(=O)c1ccc(S(=O)[O-])cc1,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>CS(=O)(=O)c1ccc(S(=O)O)cc1,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc2ccc1[nH]2,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(O)c1cc(Cl)ccc1N,0,CS(=O)(=O)c1ccc(S(=O)(=O)Cl)cc1.Cc1ncccc1C(=O)c1cc(Cl)ccc1N>>Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C=O)ccc2C)c(Cl)[nH]1,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1ccc(C=O)cc1-c1nc(C)n(C)c1Cl,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>CO,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>COC(=O)c1ccc(C)c(-c2c[nH]c(C)n2)c1,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1ccc2cc1-c1nc(C)n(c1Cl)C2=O,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(CO)ccc2C)c(Cl)[nH]1,0,COC(=O)c1ccc(C)c(-c2nc(C)[nH]c2Cl)c1>>Cc1nc(-c2cc(C(=O)O)ccc2C)c(Cl)[nH]1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
N#Cc1cccc(N=C=O)c1.OCCNC1CCN(Cc2ccccc2)CC1>>OCCNC1CCNCC1,0,N#Cc1cccc(N=C=O)c1.OCCNC1CCN(Cc2ccccc2)CC1>>N#Cc1cccc(NC(=O)N(CCO)C2CCN(Cc3ccccc3)CC2)c1,(Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[#7;a:4])>>([#7;a:4]:[c:3]:[cH;D2;+0:1]:[#7;a:2])
